,User,Date Created,Number of Likes,Source of Tweet,Tweet
0,MNHeadhunter,2023-03-12 23:59:55+00:00,1,Twitter Web App,"Worried about retention of recent hires, who will miss first paycheck after already not having one for weeks/months

Some worried about offers that were accepted with start dates of this week, will they pause

Furloughs vs layoffs vs voluntary pay cuts

Communicating to employees"
1,cselley,2023-03-12 23:59:37+00:00,19,Twitter Web App,"At a policy level, it's easy to ignore the only real solution: Privilege minorities over more senior non-minorities in layoff situations. 

At an individual human-being level, no one wants anything to do with it."
2,rodneyjp1325,2023-03-12 23:58:25+00:00,0,Twitter Web App,"Elon Musk has apologized for layoff of celebrated Twitter employee in Iceland 
#marketwatch #financial #markets"
3,Hughes1955,2023-03-12 23:58:23+00:00,0,Twitter for Android,"Mass layoffs including workers who are pregnant or on parental leave may seem unfair, but it's not illegal in the US — here's why
https://t.co/L34yWkoZ7z"
4,julayneelle,2023-03-12 23:57:35+00:00,1,Twitter for Android,@scottkurashige Maybe. But it could also mean I don't get paid this week. Don't worry about layoffs. It's the banks who are the problem.
5,LogrMan,2023-03-12 23:57:33+00:00,0,Twitter for iPhone,"@mattrmedia @debostic @JoeBiden Well, the most common is to raise prices, but layoffs would also be on the table. It’s not increasing margins if it’s done to offset additional costs. Less needed positions get trimmed that don’t affect production. It’s not Reaganomics. It’s just reality."
6,HoanNgu18603813,2023-03-12 23:56:27+00:00,0,Twitter for iPhone,@POTUS But in the same time you will increase the unemployment by more layoffs!
7,TheAngelofTruth,2023-03-12 23:56:05+00:00,1,Twitter for iPhone,"I resigned from the bank I worked for as a wealth advisor &amp; sr. loan officer on March 2nd. I worked there 5 years. My former associate texted me today saying a layoff is coming, and I’m already secured 😊 The spirit of discernment protected me. 

Thank you Jesus"
8,Muralee05539671,2023-03-12 23:55:45+00:00,0,Twitter Web App,"Andrew Yang warns of 'mass layoffs,' calls for government intervention after Silicon Valley Bank collapse https://t.co/ozQxbhxsk2 #FoxBusiness"
9,Brian70984231,2023-03-12 23:53:47+00:00,0,Twitter for iPhone,"@VP Banks failing, inflation at decade highes, layoff starting in the tech sector, income falling, should I go on"
10,RobbyH69420,2023-03-12 23:51:24+00:00,0,Twitter for iPhone,@_BarringtonII Ww3 or some sort of war. Mass layoffs. More banks closing.
11,Prashpotential,2023-03-12 23:51:03+00:00,3,Twitter for iPhone,@nowariak @TheStalwart @Noahpinion Vcs got bailed out  . They will rejoice as to thy get continue to layoff people from their startups using fed hikes as an excuse whose valuations were bailed out and their rich founders money was bailed out . So yes its a Bailout
12,NorthShoreNews,2023-03-12 23:51:02+00:00,0,SocialNewsDesk,Can layoffs be done with fairness and justice in mind? https://t.co/Ocde14gHyF
13,philippilk,2023-03-12 23:50:39+00:00,46,Twitter for iPhone,"Let’s be clear on what (2) means. It means that the Fed will save certain groups from the rate hikes but deflate the economy by allowing the other groups to bear the layoffs, loss of income, consumption contractions etc."
14,ScienceguyJD,2023-03-12 23:50:01+00:00,0,Twitter Web App,"Great news for a looooot of startups out there. Hopefully this can prevent wider spread chaos tomorrow, at minimum a lot of furloughs and layoffs have now been prevented"
15,albertlandis2,2023-03-12 23:49:08+00:00,0,Twitter for Android,"@POTUS ???
Market lost $1.5 trillion this week
2nd largest bank failure in history this week
Inflation is increasing
Massive layoffs looming
Recession looming

Please stop working for us!"
16,jason_kassa,2023-03-12 23:48:14+00:00,0,Twitter Web App,@andyserling Good NY-bred. Got the year layoff he needed and rounding into top form. Good to see.
17,TheRichmondNews,2023-03-12 23:48:02+00:00,0,SocialNewsDesk,Can layoffs be done with fairness and justice in mind? https://t.co/m9XSoAVJep
18,jesseljs,2023-03-12 23:47:14+00:00,1,Twitter for iPhone,@business So higher gas proces and more job layoffs.  Thanks Joe
19,TheRecord,2023-03-12 23:47:02+00:00,1,SocialNewsDesk,Can layoffs be done with fairness and justice in mind? https://t.co/Hge0GrIH3M
20,BurnabyNOW_News,2023-03-12 23:47:02+00:00,0,SocialNewsDesk,Can layoffs be done with fairness and justice in mind? https://t.co/Oe6X0vefTB
21,ccchorpenning,2023-03-12 23:46:20+00:00,1,Twitter for iPhone,"@thedaniariza @LoganMohtashami Totally- the ripple effect if depositors weren’t getting their money back would have been massive. Lots of payroll missed, certainly layoffs"
22,Anonymous_TYOJP,2023-03-12 23:46:08+00:00,1,Twitter Web App,"上記は前編です。
後日、後編も投稿します。
#レイオフ
#layoff
#キャリアブレイクの成果
#キャリア　
#インサイドセールス　
#インサイドセールスのキャリアパス"
